pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,1460596200655458,1918268465057333_1918820365002143,0,0,0,0,3,0
nytimes,10210726754950417,1919163081634538_1919190174965162,1,0,0,0,2,0
nytimes,10156795588707619,1919446624939517_1919740364910143,0,0,1,0,2,0
nytimes,10155938683011454,1919163081634538_1919205534963626,0,0,0,0,3,0
nytimes,10155940619158783,1919030691647777_1919369241613922,1,0,0,0,2,0
nytimes,10210554204474839,10151308886239999_10151311465694999,0,0,0,2,1,0
nytimes,907873409388347,1918268465057333_1918312508386262,0,0,0,0,0,3
nytimes,10214610351002399,1919163081634538_1919172591633587,0,0,0,0,3,0
nytimes,346042125857201,1919439628273550_1919719384912241,0,2,0,0,1,0
nytimes,10155523120170325,1918601078357405_1918680528349460,0,0,0,0,3,0
nytimes,10155495293040935,1919163081634538_1919183044965875,0,0,0,0,3,0
nytimes,10155633353221397,1918680988349414_1918691488348364,0,0,0,0,3,0
nytimes,1793714407345907,1919439628273550_1919943588223154,0,0,0,0,3,0
nytimes,1489492404420468,1919163081634538_1919192618298251,3,0,0,0,0,0
nytimes,1745221699105090,1919439628273550_1919592748258238,1,1,0,1,1,0
nytimes,10213530615636105,1918679185016261_142046829741489,2,0,0,0,1,0
